,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
411,20MICRONS,EQ,32.2,34,29.3,30.9,30.6,31.8,80690,2490946.15,23-05-2016,665,INE144J01027
412,20MICRONS,EQ,32.95,32.95,31.45,31.65,31.65,32.4,13339,426171.65,11-04-2016,160,INE144J01027
413,20MICRONS,EQ,28.9,28.9,28.1,28.45,28.15,28.5,13002,370291.05,04-04-2016,49,INE144J01027
414,20MICRONS,EQ,28,28.75,27.6,28.65,28.25,27.6,45539,1285895.3,16-03-2016,176,INE144J01027
415,20MICRONS,EQ,27.7,27.7,26.5,27.3,27.3,27.15,18063,491534.7,03-03-2016,89,INE144J01027
416,20MICRONS,EQ,33.25,34.5,30.55,31,31.1,32.75,54109,1752127.75,15-01-2016,471,INE144J01027
417,20MICRONS,EQ,37.4,39,33.9,37,36.8,36.85,191700,6928949.55,20-09-2016,820,INE144J01027
418,20MICRONS,EQ,35.9,38.85,35.7,37.8,38.7,35.2,158869,5933372.65,14-10-2016,713,INE144J01027
419,20MICRONS,EQ,29.8,30.2,29.25,29.9,29.9,29.75,32728,971249.15,16-06-2016,201,INE144J01027
420,20MICRONS,EQ,28.55,28.8,28.05,28.4,28.5,28.6,9963,285330.85,03-06-2016,87,INE144J01027
421,20MICRONS,EQ,36.35,37.5,35.6,36.15,36,36.15,75364,2753561.6,16-11-2016,588,INE144J01027
422,20MICRONS,EQ,40.55,44.25,40.2,42.55,42.3,40,996153,42482289.75,03-11-2016,4985,INE144J01027
423,20MICRONS,EQ,28.15,28.15,26.05,26.5,26.45,27.55,19357,519130.3,03-02-2016,144,INE144J01027
424,20MICRONS,EQ,29.25,29.25,27.1,27.25,27.4,28.15,15293,422566.65,16-02-2016,116,INE144J01027
425,20MICRONS,EQ,36.35,36.35,35.4,35.7,35.4,35.75,21823,780865.85,13-12-2016,113,INE144J01027
